entity_text_1	entity_text_2	label
grammar and test set from the	from the darpa resource management corpus this performance	PART_WHOLE
improvement for speaker adaptation (sa) using the	the new si corpus and a	USAGE
speaker a probabilistic spectral mapping is estimated	for each training (reference) speaker and the	MODEL-FEATURE
speaker each reference model is transformed	combined by averaging using utterances	USAGE
only 40 utterances from the	speaker for adaptation the error	USAGE
a specialized editor for a	highly structured dictionary the editor	USAGE
building that editor was to	to help lexicologists produce a	USAGE
and coherent dictionary on the	of a linguistic theory if lexicons	USAGE
lexicons and grammars to achieve	achieve complex natural language processing we linguistic	USAGE
known as free indexation plays an	of the referential properties of noun phrases in the	RESULT
for making syntactic analysis more robust---an	more robust---an agenda-based scheduling parser a recovery	USAGE
parsing for pragmatics processing we abductive	method of abductive inference is inherently	USAGE
algorithm for chart-based phrase structure parsing of natural	parsing of natural language that is	USAGE
information from unrestricted texts where many	of the words are unknown	PART_WHOLE
of the edges adjacent to	all such edges as in	COMPARE
use of phrase boundary heuristics based on	placement of function words and heuristic	USAGE
kinds of phrases to be	presence of unknown words a reduction	PART_WHOLE
by using semantic rather than	rather than syntactic categories on the	COMPARE
amount of ambiguity and thus	number of edges since edges	RESULT
since only edges with a	a valid semantic interpretation are	MODEL-FEATURE
method for discourse segmentation primarily based	based on abduction of temporal	USAGE
abduction of temporal relations between segments	relations between segments is proposed.	MODEL-FEATURE
robustness oriented adaptive learning procedure is proposed	task of syntactic ambiguity resolution owing insufficient	USAGE
data and approximation error introduced by	by the language model traditional statistical	RESULT
model traditional statistical approaches which ambiguities	implicitly using maximum likelihood method fail performance	USAGE
test. the accuracy rate of syntactic	rate of syntactic disambiguation is raised	RESULT
graph unification remains the	part of unification-based grammar parsing we unification	PART_WHOLE
which avoids log(d) overheads often associated	associated with structure-sharing of graphs without any	MODEL-FEATURE
the transfer phase in machine	complicated than analysis and generation	COMPARE
to use case-based reasoning in machine	reasoning in machine translation that translation	USAGE
called a similarity-driven transfer system (simtran) for case-based	in such case-based mt (cbmt)	USAGE
detected, the parser skips that	a fake non-terminal symbol the portion	USAGE
using the parse record of the	the first utterance the user	MODEL-FEATURE
systems. detected unknown words can be	into the dictionary after the	PART_WHOLE
concept of sublanguage is unknown	for identifying unknown words especially personal	USAGE
words especially personal names in chinese	names in chinese newspapers the title-driven	PART_WHOLE
of the spatial descriptions in japanese	descriptions in japanese in world	PART_WHOLE
produces a model of the	the described world to model	MODEL-FEATURE
extract the qualitative spatial constraints from the	from the text and numerical	PART_WHOLE
on the spatial attributes of the	of the entities this spatial	MODEL-FEATURE
reflects the temporary belief about the	about the world	MODEL-FEATURE
recently collected spoken language corpus for the	for the atis (air travel information system) domain this madcow	MODEL-FEATURE
of 12,000 utterances of spontaneous	utterances of spontaneous speech from five	MODEL-FEATURE
field of speech processing but human-machine	areas of human-machine communication including natural	COMPARE
three relatively domain-independent capabilities recently added	to the paramax spoken language understanding system : non-monotonic	MODEL-FEATURE
extending the n-best speech/language integration architecture to improving	improving ocr accuracy	RESULT
of detailed linguistic information to resolve	to resolve ambiguity hbg incorporates	USAGE
resolve ambiguity hbg incorporates lexical,	hbg incorporates lexical, syntactic, semantic, and structural information from the	USAGE
the correct parse of a	of a sentence this grammar	MODEL-FEATURE
of further grammar tailoring via	the usual linguistic introspection in the	USAGE
p-cfg the hbg model significantly outperforms	significantly outperforms p-cfg increasing parsing	COMPARE
expanded and reestimation formulas are given	given for hmm with gaussian mixture observation densities because bayesian	USAGE
adaptive nature, bayesian learning serves as	following four speech recognition applications, namely	USAGE
words like sentence whose meaning	sentence whose meaning or sense	MODEL-FEATURE
two new word-sense disambiguation systems one bilingual	trained on bilingual material (the canadian	USAGE
such as sentence appears two	in a well-written discourse it sense	PART_WHOLE
to share sense in the	the same discourse is extremely	PART_WHOLE
source of constraint for improving	of the word-sense disambiguation algorithm in disambiguation	USAGE
help evaluate disambiguation algorithms that did	of the discourse constraint	USAGE
correlation of dependency relation paths to rank	answers in answer extraction using correlation	USAGE
we compare dependency relations of a	and mapped question phrases in sentence	MODEL-FEATURE
incorporate the mapping score into the	into the correlation measure the maximum	PART_WHOLE
statistics on cooccurrence patterns in a	a large corpus to semantic	PART_WHOLE
statistics reflect semantic constraints and thus	to disambiguate anaphora references and syntactic	USAGE
to resolve references of the	"of the pronoun ""it"" in sentences"	MODEL-FEATURE
"""it"" in sentences that were"	from the corpus the cooccurrence	PART_WHOLE
cases the cooccurrence statistics indeed reflect	a useful disambiguation tool	USAGE
between a probabilistic context-free grammar and a	and a probabilistic finite automaton we closed-form	COMPARE
of the kullback-leibler distance viz. cross-entropy	viz. the cross-entropy we distributional	PART_WHOLE
problem of distributional approximation of probabilistic	means of probabilistic finite automata	USAGE
developed for spelling correction for languages	correction for languages like english	USAGE
approach to spelling correction in agglutinative	correction in agglutinative languages that is	USAGE
experiments with spelling correction in turkish	correction in turkish	USAGE
high performance continuous speech recognition (csr) techniques focussed on	application in spoken language systems (sls) which will	USAGE
transition of spoken language technology into military	technology into military and civilian systems with csr	USAGE
of robust csr to mobile	csr to mobile military command and control the acoustic	USAGE
for robust large-vocabulary csr and arpa	the new arpa large-vocabulary csr corpora and to	USAGE
presentation generators presentor offers intuitive	and powerful declarative languages specifying the	PART_WHOLE
in the darpa spoken language systems (sls) program to agree	evaluation of sls systems and sls	TOPIC
the only nl evaluations other than	series of message understanding conferences (sundheim, 1989;	TOPIC
"a practical ""black-box"" methodology for automatic"	evaluation of question-answering nl systems while speech	USAGE
the psycholinguistic literature provides evidence	evidence for syntactic priming i.e., priming	TOPIC
for incorporating priming into an	into an incremental probabilistic parser three priming	USAGE
advantage for parallel structures found in	found in human data and parsing	PART_WHOLE
of a word drawn from	have different sense priors (the proportions	MODEL-FEATURE
the different senses of a	of a word ). this	MODEL-FEATURE
accuracy of word sense disambiguation (wsd) systems trained and	on different domains this sense	USAGE
estimate the sense priors of words	priors of words drawn from	MODEL-FEATURE
of using well calibrated probabilities when performing	performing these estimations by well	USAGE
by using well calibrated probabilities we sense	estimate the sense priors effectively to	USAGE
to obtain hierarchical relations (e.g. superordinate	problems for thesaurus construction a relations	PART_WHOLE
extracting these relations automatically from	an ordinary japanese language dictionary (shinmeikai kokugojiten,	PART_WHOLE
of the definition sentences in the	in the dictionary the hierarchical	PART_WHOLE
interested in natural language understanding who take	who take machine translation to be	USAGE
only the ambiguity but also	which every natural language inevitably has	MODEL-FEATURE
adopts the transfer approach as the	framework of mt this transfer	USAGE
of the transfer phase of our	in the interlingual approach the transfer	COMPARE
boosting and svms are applied	applied to language processing tasks it error	USAGE
performance, various error correction mechanisms have been	performance on unseen data ; indeed,	USAGE
acquisition of entailment relations between verbs	relations between verbs while paraphrases	MODEL-FEATURE
to discover semantic equivalence between verbs	equivalence between verbs the entailment	MODEL-FEATURE
challenge of entailment acquisition is to	to capture asymmetric, or directional, relations motivated local	TOPIC
underlies the local structure of coherent	structure of coherent text we verb	MODEL-FEATURE
evidence about discourse relations between clauses	relations between clauses available in	MODEL-FEATURE
mapping between verbs with highly	highly varied argument structures	MODEL-FEATURE
which alternative phrases are represented	sets of trees or forests	MODEL-FEATURE
an efficient ranking algorithm is described,	or a lattice-based approach	COMPARE
to extract sentences for summary	sentences for summary generation under two	USAGE
summac-1 for categorization task positive feature	categorization task positive feature vectors and negative	USAGE
task, a text model based on	generate the user-directed summaries the normf	USAGE
and the similarity between the	between the vectors is then	MODEL-FEATURE
an efficient threading algorithm that runs	runs in 0(n) time (where n	MODEL-FEATURE
represent the topics of the	of the threads and words	MODEL-FEATURE
threads and words that represent	represent new information in each	MODEL-FEATURE
where each sstc describes a	describes a sentence a representation	MODEL-FEATURE
correspondence between substrings in the	in the sentence and subtrees	PART_WHOLE
sentence and subtrees in the	in the representation tree in parsing	PART_WHOLE
to build subtrees for phrases	subtrees for phrases in the	MODEL-FEATURE
and an hmm-based chunk tagger from named	which a named entity (ne) recognition (ner) system is built	USAGE
of the words such capitalization	such as capitalization and digitalization	MODEL-FEATURE
of our system on muc-6	tasks achieves f-measures of 96.6%	RESULT
porting a natural language processing (nlp) system to a	to a new domain remains one	USAGE
attune the existing grammar to the	of the new sublanguage this lexicalized	USAGE
fitting a lexicalized grammar to a	to a domain can be	USAGE
that combines traditional knowledge-based techniques with a	with a corpus-based approach	COMPARE
caused by transliteration in a	a large corpus the similarities	PART_WHOLE
one is string similarity based on	based on edit distance the contextual	USAGE
other is contextual similarity by a	by a vector space model experimental f-measure	USAGE
and understanding temporal expressions in newswire	expressions in newswire texts in temporal	PART_WHOLE
on anchoring temporal expressions in a	a novel genre emails. expressions	MODEL-FEATURE
evaluated a temporal expression anchoror (tea) and baseline	than the baseline and	COMPARE
usefulness of voice input for interactive	input for interactive problem solving the continuous	USAGE
recognition and natural language processing to achieve	to achieve speech understanding the application	USAGE
using a segment-based approach to phonetic	approach to phonetic recognition the recognition	USAGE
integrated with natural language processing to achieve	to achieve spoken language understanding	USAGE
it. the knowledge to be	expressed in text is first	PART_WHOLE
and the computational methods of kds	methods of kds are described.	USAGE
a deterministic parser is under	departure from traditional deterministic parsers in that	COMPARE
from the rules of a	of a deterministic grammar the hybrid	PART_WHOLE
to a parser which is	to any known deterministic parser experiments training	COMPARE
and powerful training techniques are demonstrated	that permit decision-making by the	USAGE
by the connectionist component in the	in the parsing process this rules	PART_WHOLE
to the rules of other	of other deterministic parsers including rule	PART_WHOLE
how a connectionist (neural) network trained with	parse both expected (grammatical) sentences as well	USAGE
integration of supervised learning with unsupervised	biases in summarization in probabilistic	USAGE
summaries the corpus of human	from a newspaper corpus and used	PART_WHOLE
procedure for statistical machine translation (mt) based on	based on dynamic programming (dp) starting word	USAGE
on the verbmobil task (german-english, 8000-word	is a limited-domain spoken-language task	MODEL-FEATURE
issue of word-sense ambiguity in extraction	extraction from machine-readable resources for the	PART_WHOLE
i.e., that verb semantics and syntactic	semantics and syntactic behavior are predictably	COMPARE
in deriving semantic information from syntactic	information from syntactic cues if we	USAGE
divide the syntactic cues into distinct	with different word senses finally, word	COMPARE
for building natural language processing (nlp) systems for text	systems for text understanding systems paktus	USAGE
news wire. paktus supports the	of domains: jintaccs messages rainform messages	USAGE
fragment of linear logic has found	applications in computational linguistics : in	USAGE
"in the ""glue language"" approach to"	approach to lfg semantics and parsing	USAGE
for an embodied conversational agent in a	in a dialogue system a corpus	PART_WHOLE
model and parser for large-vocabulary	parser for large-vocabulary speech recognition the online	USAGE
probabilities. the parser uses structural	parser uses structural and lexical dependencies not considered	USAGE
extracting additional structural information useful for	useful for speech understanding	USAGE
are probability, rank and entropy	rank and entropy we pruning	COMPARE
the three pruning criteria in a	application of chinese text input in terms	USAGE
using a unification-based grammar that is	by a multidimensional chart parser to compose	USAGE
in which multimodal parsing and understanding are achieved	using a weighted finite-state device which takes	USAGE
use a convolution kernel over parse	to model syntactic structure information for relation	MODEL-FEATURE
that the syntactic structure features embedded in	in a parse tree are very	PART_WHOLE
approach to parsing that utilizes	advances in unification-based parsing and in	USAGE
representation as unification-based grammatical frameworks are extended	developed in kl-one-like knowledge representation systems this classification-based	COMPARE
of the classification-based representation techniques can be	applied to unification-based linguistic descriptions this semantic	USAGE
of a kl-one style representation for parsing	representation for parsing and semantic	USAGE
in which parsing is characterized	process called incremental description refinement	USAGE
phenomena, an explanation system must be	representation of domain knowledge organize multisentential	USAGE
empirically study explanation generation from semantically	generation from semantically rich, large-scale knowledge bases in robust	USAGE
describes a robust explanation system that constructs	the a large-scale knowledge base in the	USAGE
sense a topic signature is a	set of words that tend	PART_WHOLE
with it. topic signatures can be	number of natural language processing (nlp) applications such word	USAGE
in which word senses are lexicalised	lexicalised in english and chinese	PART_WHOLE
amount of chinese text available in	available in corpora and on	PART_WHOLE
evaluated the topic signatures on a	on a wsd task where second-order	USAGE
a novel ensemble learning approach to resolving	to resolving german pronouns boosting hypotheses	USAGE
present a standalone system that resolves	pronouns in unannotated text by using	USAGE
a limited textual domain further open-domain	effective for open-domain question answering and text	COMPARE
presents a machine learning approach to bare	approach to bare slice disambiguation in dialogue	USAGE
set of heuristic principles from a	them as probabilistic horn clauses we clauses	MODEL-FEATURE
set of domain independent features to annotate	annotate an input dataset and machine	MODEL-FEATURE
slipper, a rule-based learning algorithm and memory-based	timbl, a memory-based system both success	COMPARE
that the features in terms	formulate our heuristic principles have significant	MODEL-FEATURE
and that rules that closely	resemble our horn clauses can be	COMPARE
criterion – meaning-entailing substitutability – fits	needs of semantic-oriented nlp applications and can	USAGE
by this semantic criterion we analyze	quality of distributional word feature vectors and its	MODEL-FEATURE
a novel feature weighting and selection function is presented,	yields superior feature vectors and better	RESULT
we identify features of electronic	features of electronic discussions that influence	MODEL-FEATURE
tested the clustering and filtering processes on electronic	processes on electronic newsgroup discussions and performance	USAGE
evaluated their performance by means	experiments : coarse-level clustering simple information	RESULT
that exploits context on both	of a word to be	MODEL-FEATURE
that the quality of the	impacts the accuracy that can	RESULT
method of hmm training that improves	that improves accuracy when training	RESULT
of generating referring expressions mainly utilized	attributes of objects and binary	USAGE
objects and binary relations between objects	relations between objects however, objects	MODEL-FEATURE
groups of objects and n-ary	objects and n-ary relations among them.	MODEL-FEATURE
machine transliteration/back-transliteration plays an	in many multilingual speech and language applications in machine	PART_WHOLE
framework for machine transliteration/backtransliteration that allows	carry out direct orthographical mapping (dom) between two	USAGE
also called n-gram transliteration model (n-gram tm) is transliteration	model the transliteration process we transliteration/backtransliteration	MODEL-FEATURE
through several transliteration/backtransliteration experiments for english/chinese	experiments for english/chinese and english/japanese language pairs our system	USAGE
present a corpus-based supervised word sense disambiguation (wsd) system for dutch	system for dutch which combines	USAGE
building individual classifiers per ambiguous	introduce a lemma-based approach the inflected	COMPARE
clusters all inflected forms of an	of an ambiguous word in one	MODEL-FEATURE
augmenting the training material available to	to the algorithm testing lemma-based	USAGE
testing the lemma-based model on the	on the dutch senseval-2 test data we accuracy	USAGE
present a text mining method for finding	on the distributional hypothesis in a	USAGE
improve the accuracy of a	of a term aggregation system using each	RESULT
each author's text as a	a coherent corpus our expression	USAGE
use one expression for one	for one meaning according words	MODEL-FEATURE
of the words with similar	words with similar context features in each	MODEL-FEATURE
improves the accuracy of our	of our term aggregation system showing	RESULT
while sentence extraction as an	approach to summarization has been	USAGE
work in documents of certain	of certain genres because email	MODEL-FEATURE
nature of email communication where utterances	communication where utterances are made	PART_WHOLE
the necessary segments of dialogue	segments of dialogue that would	PART_WHOLE
detection of question-answer pairs in an	in an email conversation for the	PART_WHOLE
that various features based on	improve upon lexical similarity of discourse	USAGE
compute the co-occurrence distribution between pairs	pairs of terms an independence	MODEL-FEATURE
to compute similarity between words	similarity between words or use	MODEL-FEATURE
or use lexical affinity to create	to create sequential models in models	USAGE
capture the co-occurrence patterns of any	pair of words or phrases	MODEL-FEATURE
method for word sense disambiguation based on	based on parallel corpora the word	USAGE
alignment and word clustering based on	based on automatic extraction of translation	USAGE
and spot alignment errors in multilingually	errors in multilingually aligned wordnets as balkanet	PART_WHOLE
we present minimum bayes-risk (mbr) decoding for statistical	decoding for statistical machine translation this expected	USAGE
errors under loss functions that measure	that measure translation performance we loss	MODEL-FEATURE
hierarchy of loss functions that incorporate	levels of linguistic information from word	MODEL-FEATURE
word strings word-to-word alignments from an	from an mt system and syntactic	PART_WHOLE
structure from parse-trees of source	parse-trees of source and target language sentences we performance	MODEL-FEATURE
report the performance of the	of the mbr decoders on a	RESULT
show that mbr decoding can be	to tune statistical mt performance for specific	USAGE
information extraction techniques automatically create	automatically create structured databases from unstructured	RESULT
estimate the confidence the system	of each extracted field the information	MODEL-FEATURE
field the information extraction system we evaluate	on a linear-chain conditional random field (crf) a probabilistic	USAGE
(crf) a probabilistic model which has	well on information extraction tasks because of	USAGE
arbitrary, overlapping features of the	in a markov model we confidence	MODEL-FEATURE
estimate the confidence of both	of both extracted fields and entire	MODEL-FEATURE
an implemented graphic interpretation system that takes	variety of communicative signals and shallow	USAGE
framework for word alignment based on	based on log-linear models all knowledge	USAGE
models all knowledge sources are treated	treated as feature functions which source	USAGE
additional variables. log-linear models allow statistical	models allow statistical alignment models to be	USAGE
correspondence and bilingual dictionary coverage as features	coverage as features our log-linear	USAGE
show that log-linear models significantly outperform	significantly outperform ibm translation models	COMPARE
inducing a combinatory categorial grammar (ccg) lexicon from a	from a turkish dependency treebank the turkish	USAGE
fact that turkish is an	is an agglutinating free word order language presents a	MODEL-FEATURE
from a treebank which is	smaller than penn wsj	COMPARE
in the chinese language a verb	language a verb may have	PART_WHOLE
sides. the ambiguity resolution of right-side	essential for dependency parsing of sentences	PART_WHOLE
parsing of sentences with two	or more verbs previous shift-reduce	PART_WHOLE
guarantee the connectivity of a	of a dependency tree due to	MODEL-FEATURE
proposes a two-phase shift-reduce dependency parser based on	based on svm learning the left-side	USAGE
outperforms previous shift-reduce dependency parsers for the	for the chine language showing dependency	USAGE
definition of focus which is	determined in discourse in a	PART_WHOLE
integration of focus via fda	construct into speech synthesis systems in concept-to-speech	USAGE
currently several grammatical formalisms converge towards	towards utilizing context-free phrase-structure grammar as a	USAGE
of fundamental rule-invocation strategies within context-free	strategies within context-free chart parsing	PART_WHOLE
for a model of grammatical processing that is	based on uniform processing and knowledge	USAGE
to view parsing and generation	parsing and generation as two	COMPARE
when decomposing words into their	into their constituent parts is ambiguity	PART_WHOLE
of multiple analyses for one	for one input word many ambiguity	MODEL-FEATURE
ambiguity the morphological parser morpa is provided	"with a probabilistic context-free grammar (pcfg) i.e. ""conventional"""	PART_WHOLE
"combines a ""conventional"" context-free morphological grammar to filter"	with a probability-based scoring function which determines	USAGE
fully implemented parser developed for	in a text-to-speech conversion system	USAGE
identification the output can be	meet different segmentation standards through the	MODEL-FEATURE
transformation. the system participated in	achieved the state-of-the-art performance in msr-open	RESULT
paper a morphological component with a	(and generate) derived words is presented.	USAGE
with a feature-based word grammar building on	on a hierarchical lexicon polymorphemic stems	USAGE
hierarchical lexicon polymorphemic stems not explicitly	given a compositional interpretation that lexicon	MODEL-FEATURE
approach to full parsing suitable for	suitable for information extraction from texts	USAGE
analyze the text building unambiguous	text building unambiguous structures initially chunks	MODEL-FEATURE
in the ie module of facile,	module of facile, a eu project for multilingual text classification and ie	PART_WHOLE
simple improved duration model has reduced	reduced the error rate by about	RESULT
finally, the recognizer has been	to use bigram back-off language models the rm	USAGE
are four language pairs currently supported	supported by glosser : english-bulgarian	MODEL-FEATURE
for an aligned bilingual corpus of word	corpus of word examples	PART_WHOLE
identifying likely topics of texts	topics of texts by their	MODEL-FEATURE
based on genre-specific regularities of discourse	regularities of discourse structure this information	MODEL-FEATURE
of a conditional log-linear model with hidden	model with hidden variables representing the	MODEL-FEATURE
assignment of lexical items to word	items to word clusters or word	MODEL-FEATURE
make these assignments based on	on a discriminative training criterion training and	USAGE
training and decoding with the	exactly using dynamic programming as parse	USAGE
beyond the base parser and collins	improvement beyond collins (2000) reranker although parsing	COMPARE
taiwan child language corpus contains scripts	corpus contains scripts transcribed from	PART_WHOLE
hours of recordings of fourteen	children from southern min chinese speaking families	MODEL-FEATURE
of the corpus adopts the	adopts the child language data exchange system (childes) the corpus	MODEL-FEATURE
of the corpus is about	1.6 million words in data	PART_WHOLE
segmentation and part-of-speech annotation of this	of this corpus applications corpus	USAGE
robust natural language interpretation requires strong	requires strong semantic domain models fail-soft recovery	USAGE
structures although single-strategy parsers have met	success, a multi-strategy approach is shown	COMPARE
to bring task-specific domain knowledge (in addition	addition to general linguistic knowledge ) to	COMPARE
input a parsing algorithm is presented	several different parsing strategies with case-frame	USAGE
of these parsing strategies exploits different	exploits different types of knowledge ; and	USAGE
input and ungrammatical structures as grammatically	less exotic, grammatically correct input several specific	COMPARE
input several specific heuristics for handling	within this multi-strategy framework	PART_WHOLE
describe the discontinuous constituents of non-configurational	constituents of non-configurational languages these discontinuous	PART_WHOLE
languages these discontinuous constituents can be	variant of definite clause grammars and grammars	MODEL-FEATURE
and these grammars can be	create a parser for non-configurational languages	USAGE
acquiring a context-sensitive, phrase structure grammar which is	by a best-path, bottom-up, deterministic parser the grammar	USAGE
concludes that csg is a	construction of phrase structure grammar for news	USAGE
selecting the semantically unmarked term out of	pair of antonymous adjectives solutions term	PART_WHOLE
comparing the lexical coverage of mt	coverage of mt systems the words	MODEL-FEATURE
lists of words from different	from different frequency classes it word	MODEL-FEATURE
for interpreting abstract flat syntactic representations, lfg f-structures as underspecified	f-structures as underspecified semantic representations, here underspecified discourse representation structures (udrss) the one-to-one	MODEL-FEATURE
provides a model theoretic interpretation and an	representations for f-structures through the	MODEL-FEATURE
through the translation images of f-structures	images of f-structures as udrss	MODEL-FEATURE
creating a dialog management system based on	on a construct algebra a collection	USAGE
algebra a collection of relations and operations on a	on a task representation these relations	MODEL-FEATURE
operations are analytical components for building	abstractions called dialog motivators the dialog	PART_WHOLE
motivators the dialog manager consisting collection	of a collection of dialog motivators is construct	PART_WHOLE
is a language-independent system for automatic	system for automatic discovery of text in parallel	USAGE
the preliminary strand results by	by adding automatic language identification scaling automatically	PART_WHOLE
is an automatically acquired parallel corpus comprising 2491	comprising 2491 english-french document pairs approximately words	PART_WHOLE
project is computer-assisted acquisition and morpho-syntactic description of verb-noun collocations in polish	collocations in polish we dictionary-based	USAGE
presented here corpus-based approach permitted us	size the verb-noun collocation dictionary for polish in syntlex	USAGE
recently developed large czech mwe database containing at	160 000 mwes (treated as	PART_WHOLE
dictionaries public databases of proper	databases of proper names and toponyms	PART_WHOLE
and toponyms collocations obtained from	obtained from czech wordnet lists botanical	PART_WHOLE
the built mwes database with the	with the corpus data from czech	COMPARE
exploiting the word sketch engine which statistical	work with statistical parameters such as	MODEL-FEATURE
with the salience for the	the whole mwes we database	MODEL-FEATURE
of the database for working	more adequate tagging and lemmatization	USAGE
to recognize mwes in corpus	mwes in corpus text and lemmatize	PART_WHOLE
to explore statistical techniques for ranking	the best translations in a	USAGE
in a graph of translation	graph of translation hypotheses in hypotheses	PART_WHOLE
how the hypotheses graph is generated	generated through shallow mapping and permutation	USAGE
of its nodes consisting of	consisting of vectors representing morpho-syntactic properties of words	PART_WHOLE
and their log-linear combination is then	best m translation paths in the	USAGE
toolkits the cmu and the	and the sri toolkit and arrive	COMPARE
results: 1) word-lemma based feature function models produce better	results than token-based models 2) pos-tag	COMPARE
adding a pos-tag feature function to the	to the word-lemma model improves the	PART_WHOLE
and 3) weights for lexical	weights for lexical translations are suitable	MODEL-FEATURE
if the training material is similar	to the texts to be	COMPARE
looking for internal and contextual information associated with	associated with domain specific terms the features	MODEL-FEATURE
that fewer features are not	to distinguish terms from non-terms	MODEL-FEATURE
approach for term extraction based on	based on delimiters which are	USAGE
capturing the discourse relations in czech	relations in czech we syntactically	PART_WHOLE
of the syntactically motivated relations in discourse	relations in discourse basing prague	PART_WHOLE
the present-day syntactico-semantic (tectogrammatical) annotation in the	in the prague dependency treebank extend sentence-boundary-crossing	PART_WHOLE
a new, discourse level of annotation	level of annotation in praguian	MODEL-FEATURE
possibilities the praguian dependency-based approach offers with	with the penn discourse annotation based primarily	COMPARE
experiments of unsupervised automatic acquisition of italian	(scfs) from general and domain corpora the syntactically	USAGE
any previous lexico-syntactic knowledge about scfs	knowledge about scfs although state-of-the-art	MODEL-FEATURE
of whether verbs sharing similar	sharing similar scfs distributions happen to	MODEL-FEATURE
by clustering verbs that share	that share frames with the	MODEL-FEATURE
the translation of english	limits of traditional mt architectural designs a semantic	USAGE
a new semantic representation is proposed	that uses virtual reality 3d scene modeling software to produce	USAGE
as an interlingua within a	a new multi-pathway mt architecture design that also	PART_WHOLE
design of cognitively well-motivated interfaces relying primarily	on the display of graphical information we graphical	USAGE
integration of natural language generation to augment	augment the interaction	USAGE
out with vocabularies containing up	to 20k words the continuous	PART_WHOLE
use of continuous density hmm with gaussian	hmm with gaussian mixture for acoustic	MODEL-FEATURE
modeling and n-gram statistics estimated on	texts for language modeling the time-synchronous	USAGE
a second forward pass which word	of a word graph generated with	USAGE
language model acoustic modeling uses cepstrum-based	modeling uses cepstrum-based features context-dependent phone	USAGE
words the system is based	on a multi-component architecture where each	USAGE
is the components that identify	that identify names and spelling	USAGE
errors each component uses a	uses a decision tree architecture to combine	USAGE
types of evidence about the	about the unknown word the system	MODEL-FEATURE
data from live closed captions - a	variety of unknown words	PART_WHOLE
recognition of proper nouns in japanese	nouns in japanese text has been	USAGE
problem of morphological analysis in japanese	analysis in japanese text processing ([1] [2]).	PART_WHOLE
as a morphological analysis problem in japanese	problem in japanese our morphological	USAGE
japanese our morphological analyzer has done	for the recognition and classification of proper names, numerical and temporal expressions, i.e. named entity (ne) items in the	USAGE
kinds of dictionaries to segment	and tag japanese character strings second, dictionary	USAGE
set of rules is applied	to the segmented strings in order	USAGE
present a practically unsupervised learning method to produce	to produce single-snippet answers to definition	USAGE
method exploits on-line encyclopedias and dictionaries to generate	number of positive and negative definition examples which svm	USAGE
context of terms extracted from	extracted from corpora : given	PART_WHOLE
set of terms obtained corpus	from a corpus identifying hierarchical	PART_WHOLE
corpus identifying hierarchical (or other types of) relations between these	between these terms the terminology	MODEL-FEATURE
focusses on terminology structuring by lexical	structuring by lexical methods which terms	USAGE
which match terms on the	on their content words taking morphological	PART_WHOLE
list of terms obtained from	an originally hierarchically-structured terminology : the	PART_WHOLE
compare the lexically-induced relations with the	the original mesh relations : after	COMPARE
ofthe 'new' relations not present	in the mesh this lexical	PART_WHOLE
choices and naming conventions made by	by the mesh designers, and	MODEL-FEATURE
thus extracting translations from a	from a small, domain-specific corpus consisting of	PART_WHOLE
analysing the frequency profiles of parallel	profiles of parallel concordances the conventional	MODEL-FEATURE
limitations of conventional statistical methods which require	which require large corpora to be	USAGE
effective, and lexical approaches which depend	on existing bilingual dictionaries pilot parallel	USAGE
on a parallel corpus of about	about 113k chinese words and 120k	PART_WHOLE
acquiring a translation lexicon for legal	lexicon for legal terminology by filtering	PART_WHOLE
coedition of a	of a natural language text and its	USAGE
with the text in their	in their language (l0) and graph	MODEL-FEATURE
align the tree and the	as few crossing liaisons as possible.	MODEL-FEATURE
using the expectation-maximization (em) algorithm proposed by	al. for text classification problems in order	USAGE
stops the em algorithm at the	at the optimum iteration number to noun	MODEL-FEATURE
solved 50 noun wsd problems in the	in the japanese dictionary task in senseval2 the verb	PART_WHOLE
a proposed user knowledge modeling architecture for the	for the icicle system a language	PART_WHOLE
system a language tutoring application for deaf	learners of written english the language	USAGE
motivate our model design by citing	research on second language and cognitive skill acquisition and design	USAGE
and practical japanese parsers that uses	that uses decision trees first, decision	USAGE
a single decision tree to estimate	to estimate modification probabilities ; how	MODEL-FEATURE
which several decision trees are constructed	combined for probability estimation the parsers	USAGE
estimation of word significance oriented for	oriented for speech-based information retrieval (ir) is addressed.	USAGE
since the significance of words	significance of words differs in	MODEL-FEATURE
gives a weight on errors	instead of word error rate (wer) which words	COMPARE
uniformly. a decoding strategy that minimizes	on a minimum bayes-risk framework has been	USAGE
on both asr and ir	asr and ir has been	COMPARE
propose an automatic estimation method for word	method for word significance (weights) based on	USAGE
presents a method to automatically acquire paraphrases using bilingual	paraphrases using bilingual corpora which bilingual	USAGE
utilizes the bilingual dependency relations obtained by	based on statistical alignment techniques since paraphrasing	USAGE
disambiguating the sense of an	an original phrase using the	MODEL-FEATURE
obtain interchangeable paraphrases under a	a given context also, generalized	MODEL-FEATURE
to acquire generalized translation knowledge using the	the extracted paraphrases we generalized	USAGE
acquire the generalized translation knowledge for korean-english	knowledge for korean-english translation through parallel	MODEL-FEATURE
experiments with parallel corpora of a	of a korean and english language pairs we paraphrasing	PART_WHOLE
that our paraphrasing method effectively extracts	with high precision 94.3% korean	RESULT
and the translation knowledge extracted from	from the bilingual corpora could be	PART_WHOLE
using the paraphrases with the	the 12.5% compression ratio	MODEL-FEATURE
